ORGANIZACIONES POLÍTICAS,TOTAL,%VÁLIDOS,%EMITIDOS,DEPARTAMENTO,PROVINCIA,DISTRITO
RENACIMIENTO UNIDO NACIONAL,8,1.404%,1.078%,APURIMAC,ABANCAY,CHACOCHE
PARTIDO DEMOCRATICO SOMOS PERU,2,0.351%,0.270%,APURIMAC,ABANCAY,CHACOCHE
PARTIDO POLITICO NACIONAL PERU LIBRE,291,51.053%,39.218%,APURIMAC,ABANCAY,CHACOCHE
DEMOCRACIA DIRECTA,0,0.000%,0.000%,APURIMAC,ABANCAY,CHACOCHE
ALIANZA PARA EL PROGRESO,7,1.228%,0.943%,APURIMAC,ABANCAY,CHACOCHE
PARTIDO NACIONALISTA PERUANO,20,1.493%,1.153%,APURIMAC,ABANCAY,CIRCA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",20,1.493%,1.153%,APURIMAC,ABANCAY,CIRCA
PARTIDO MORADO,11,0.821%,0.634%,APURIMAC,ABANCAY,CIRCA
PERU PATRIA SEGURA,1,0.075%,0.058%,APURIMAC,ABANCAY,CIRCA
VICTORIA NACIONAL,28,2.090%,1.614%,APURIMAC,ABANCAY,CIRCA
ACCION POPULAR,129,9.627%,7.435%,APURIMAC,ABANCAY,CIRCA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,31,2.313%,1.787%,APURIMAC,ABANCAY,CIRCA
PODEMOS PERU,14,1.045%,0.807%,APURIMAC,ABANCAY,CIRCA
JUNTOS POR EL PERU,164,12.239%,9.452%,APURIMAC,ABANCAY,CIRCA
PARTIDO POPULAR CRISTIANO - PPC,4,0.299%,0.231%,APURIMAC,ABANCAY,CIRCA
FUERZA POPULAR,80,5.970%,4.611%,APURIMAC,ABANCAY,CIRCA
UNION POR EL PERU,22,1.642%,1.268%,APURIMAC,ABANCAY,CIRCA
RENOVACION POPULAR,54,4.030%,3.112%,APURIMAC,ABANCAY,CIRCA
RENACIMIENTO UNIDO NACIONAL,17,1.269%,0.980%,APURIMAC,ABANCAY,CIRCA
PARTIDO DEMOCRATICO SOMOS PERU,10,0.746%,0.576%,APURIMAC,ABANCAY,CIRCA
PARTIDO POLITICO NACIONAL PERU LIBRE,721,53.806%,41.556%,APURIMAC,ABANCAY,CIRCA
DEMOCRACIA DIRECTA,6,0.448%,0.346%,APURIMAC,ABANCAY,CIRCA
ALIANZA PARA EL PROGRESO,8,0.597%,0.461%,APURIMAC,ABANCAY,CIRCA
PARTIDO NACIONALISTA PERUANO,52,0.813%,0.582%,APURIMAC,ABANCAY,CURAHUASI
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",62,0.969%,0.694%,APURIMAC,ABANCAY,CURAHUASI
PARTIDO MORADO,314,4.909%,3.517%,APURIMAC,ABANCAY,CURAHUASI
PERU PATRIA SEGURA,14,0.219%,0.157%,APURIMAC,ABANCAY,CURAHUASI
VICTORIA NACIONAL,77,1.204%,0.862%,APURIMAC,ABANCAY,CURAHUASI
ACCION POPULAR,456,7.128%,5.108%,APURIMAC,ABANCAY,CURAHUASI
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,227,3.549%,2.543%,APURIMAC,ABANCAY,CURAHUASI
PODEMOS PERU,55,0.860%,0.616%,APURIMAC,ABANCAY,CURAHUASI
JUNTOS POR EL PERU,745,11.646%,8.345%,APURIMAC,ABANCAY,CURAHUASI
PARTIDO POPULAR CRISTIANO - PPC,23,0.360%,0.258%,APURIMAC,ABANCAY,CURAHUASI
FUERZA POPULAR,1039,16.242%,11.638%,APURIMAC,ABANCAY,CURAHUASI
UNION POR EL PERU,58,0.907%,0.650%,APURIMAC,ABANCAY,CURAHUASI
RENOVACION POPULAR,206,3.220%,2.307%,APURIMAC,ABANCAY,CURAHUASI
RENACIMIENTO UNIDO NACIONAL,46,0.719%,0.515%,APURIMAC,ABANCAY,CURAHUASI
PARTIDO DEMOCRATICO SOMOS PERU,26,0.406%,0.291%,APURIMAC,ABANCAY,CURAHUASI
PARTIDO POLITICO NACIONAL PERU LIBRE,2889,45.162%,32.359%,APURIMAC,ABANCAY,CURAHUASI
DEMOCRACIA DIRECTA,20,0.313%,0.224%,APURIMAC,ABANCAY,CURAHUASI
ALIANZA PARA EL PROGRESO,88,1.376%,0.986%,APURIMAC,ABANCAY,CURAHUASI
PARTIDO NACIONALISTA PERUANO,23,1.718%,1.231%,APURIMAC,ABANCAY,HUANIPACA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",18,1.344%,0.964%,APURIMAC,ABANCAY,HUANIPACA
PARTIDO MORADO,16,1.195%,0.857%,APURIMAC,ABANCAY,HUANIPACA
PERU PATRIA SEGURA,6,0.448%,0.321%,APURIMAC,ABANCAY,HUANIPACA
VICTORIA NACIONAL,24,1.792%,1.285%,APURIMAC,ABANCAY,HUANIPACA
ACCION POPULAR,151,11.277%,8.084%,APURIMAC,ABANCAY,HUANIPACA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,34,2.539%,1.820%,APURIMAC,ABANCAY,HUANIPACA
PODEMOS PERU,11,0.822%,0.589%,APURIMAC,ABANCAY,HUANIPACA
JUNTOS POR EL PERU,218,16.281%,11.670%,APURIMAC,ABANCAY,HUANIPACA
PARTIDO POPULAR CRISTIANO - PPC,2,0.149%,0.107%,APURIMAC,ABANCAY,HUANIPACA
FUERZA POPULAR,125,9.335%,6.692%,APURIMAC,ABANCAY,HUANIPACA
UNION POR EL PERU,12,0.896%,0.642%,APURIMAC,ABANCAY,HUANIPACA
RENOVACION POPULAR,44,3.286%,2.355%,APURIMAC,ABANCAY,HUANIPACA
RENACIMIENTO UNIDO NACIONAL,14,1.046%,0.749%,APURIMAC,ABANCAY,HUANIPACA
PARTIDO DEMOCRATICO SOMOS PERU,9,0.672%,0.482%,APURIMAC,ABANCAY,HUANIPACA
PARTIDO POLITICO NACIONAL PERU LIBRE,607,45.332%,32.495%,APURIMAC,ABANCAY,HUANIPACA
DEMOCRACIA DIRECTA,9,0.672%,0.482%,APURIMAC,ABANCAY,HUANIPACA
ALIANZA PARA EL PROGRESO,16,1.195%,0.857%,APURIMAC,ABANCAY,HUANIPACA
PARTIDO NACIONALISTA PERUANO,6,0.397%,0.295%,APURIMAC,ABANCAY,LAMBRAMA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",11,0.728%,0.541%,APURIMAC,ABANCAY,LAMBRAMA
PARTIDO MORADO,12,0.794%,0.590%,APURIMAC,ABANCAY,LAMBRAMA
PERU PATRIA SEGURA,4,0.265%,0.197%,APURIMAC,ABANCAY,LAMBRAMA
VICTORIA NACIONAL,24,1.588%,1.181%,APURIMAC,ABANCAY,LAMBRAMA
ACCION POPULAR,114,7.545%,5.607%,APURIMAC,ABANCAY,LAMBRAMA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,22,1.456%,1.082%,APURIMAC,ABANCAY,LAMBRAMA
PODEMOS PERU,6,0.397%,0.295%,APURIMAC,ABANCAY,LAMBRAMA
JUNTOS POR EL PERU,156,10.324%,7.673%,APURIMAC,ABANCAY,LAMBRAMA
PARTIDO POPULAR CRISTIANO - PPC,5,0.331%,0.246%,APURIMAC,ABANCAY,LAMBRAMA
FUERZA POPULAR,103,6.817%,5.066%,APURIMAC,ABANCAY,LAMBRAMA
UNION POR EL PERU,42,2.780%,2.066%,APURIMAC,ABANCAY,LAMBRAMA
RENOVACION POPULAR,26,1.721%,1.279%,APURIMAC,ABANCAY,LAMBRAMA
RENACIMIENTO UNIDO NACIONAL,22,1.456%,1.082%,APURIMAC,ABANCAY,LAMBRAMA
PARTIDO DEMOCRATICO SOMOS PERU,2,0.132%,0.098%,APURIMAC,ABANCAY,LAMBRAMA
PARTIDO POLITICO NACIONAL PERU LIBRE,928,61.416%,45.647%,APURIMAC,ABANCAY,LAMBRAMA
DEMOCRACIA DIRECTA,3,0.199%,0.148%,APURIMAC,ABANCAY,LAMBRAMA
ALIANZA PARA EL PROGRESO,25,1.655%,1.230%,APURIMAC,ABANCAY,LAMBRAMA
PARTIDO NACIONALISTA PERUANO,38,2.077%,1.571%,APURIMAC,ABANCAY,PICHIRHUA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",15,0.820%,0.620%,APURIMAC,ABANCAY,PICHIRHUA
PARTIDO MORADO,14,0.765%,0.579%,APURIMAC,ABANCAY,PICHIRHUA
PERU PATRIA SEGURA,4,0.219%,0.165%,APURIMAC,ABANCAY,PICHIRHUA
VICTORIA NACIONAL,26,1.421%,1.075%,APURIMAC,ABANCAY,PICHIRHUA
ACCION POPULAR,124,6.776%,5.126%,APURIMAC,ABANCAY,PICHIRHUA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,39,2.131%,1.612%,APURIMAC,ABANCAY,PICHIRHUA
PODEMOS PERU,17,0.929%,0.703%,APURIMAC,ABANCAY,PICHIRHUA
JUNTOS POR EL PERU,243,13.279%,10.045%,APURIMAC,ABANCAY,PICHIRHUA
PARTIDO POPULAR CRISTIANO - PPC,4,0.219%,0.165%,APURIMAC,ABANCAY,PICHIRHUA
FUERZA POPULAR,258,14.098%,10.666%,APURIMAC,ABANCAY,PICHIRHUA
UNION POR EL PERU,34,1.858%,1.406%,APURIMAC,ABANCAY,PICHIRHUA
RENOVACION POPULAR,60,3.279%,2.480%,APURIMAC,ABANCAY,PICHIRHUA
RENACIMIENTO UNIDO NACIONAL,23,1.257%,0.951%,APURIMAC,ABANCAY,PICHIRHUA
PARTIDO DEMOCRATICO SOMOS PERU,5,0.273%,0.207%,APURIMAC,ABANCAY,PICHIRHUA
PARTIDO POLITICO NACIONAL PERU LIBRE,881,48.142%,36.420%,APURIMAC,ABANCAY,PICHIRHUA
DEMOCRACIA DIRECTA,11,0.601%,0.455%,APURIMAC,ABANCAY,PICHIRHUA
ALIANZA PARA EL PROGRESO,34,1.858%,1.406%,APURIMAC,ABANCAY,PICHIRHUA
PARTIDO NACIONALISTA PERUANO,9,0.759%,0.544%,APURIMAC,ABANCAY,SAN PEDRO DE CACHORA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",19,1.602%,1.148%,APURIMAC,ABANCAY,SAN PEDRO DE CACHORA
PARTIDO MORADO,11,0.927%,0.665%,APURIMAC,ABANCAY,SAN PEDRO DE CACHORA
PERU PATRIA SEGURA,3,0.253%,0.181%,APURIMAC,ABANCAY,SAN PEDRO DE CACHORA
VICTORIA NACIONAL,20,1.686%,1.208%,APURIMAC,ABANCAY,SAN PEDRO DE CACHORA
ACCION POPULAR,162,13.659%,9.789%,APURIMAC,ABANCAY,SAN PEDRO DE CACHORA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,29,2.445%,1.752%,APURIMAC,ABANCAY,SAN PEDRO DE CACHORA
PODEMOS PERU,7,0.590%,0.423%,APURIMAC,ABANCAY,SAN PEDRO DE CACHORA
JUNTOS POR EL PERU,104,8.769%,6.284%,APURIMAC,ABANCAY,SAN PEDRO DE CACHORA
PARTIDO POPULAR CRISTIANO - PPC,1,0.084%,0.060%,APURIMAC,ABANCAY,SAN PEDRO DE CACHORA
FUERZA POPULAR,165,13.912%,9.970%,APURIMAC,ABANCAY,SAN PEDRO DE CACHORA
UNION POR EL PERU,8,0.675%,0.483%,APURIMAC,ABANCAY,SAN PEDRO DE CACHORA
RENOVACION POPULAR,28,2.361%,1.692%,APURIMAC,ABANCAY,SAN PEDRO DE CACHORA
RENACIMIENTO UNIDO NACIONAL,11,0.927%,0.665%,APURIMAC,ABANCAY,SAN PEDRO DE CACHORA
PARTIDO DEMOCRATICO SOMOS PERU,4,0.337%,0.242%,APURIMAC,ABANCAY,SAN PEDRO DE CACHORA
PARTIDO POLITICO NACIONAL PERU LIBRE,583,49.157%,35.227%,APURIMAC,ABANCAY,SAN PEDRO DE CACHORA
DEMOCRACIA DIRECTA,4,0.337%,0.242%,APURIMAC,ABANCAY,SAN PEDRO DE CACHORA
ALIANZA PARA EL PROGRESO,18,1.518%,1.088%,APURIMAC,ABANCAY,SAN PEDRO DE CACHORA
PARTIDO NACIONALISTA PERUANO,37,0.817%,0.680%,APURIMAC,ABANCAY,TAMBURCO
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",25,0.552%,0.459%,APURIMAC,ABANCAY,TAMBURCO
PARTIDO MORADO,50,1.104%,0.918%,APURIMAC,ABANCAY,TAMBURCO
PERU PATRIA SEGURA,8,0.177%,0.147%,APURIMAC,ABANCAY,TAMBURCO
VICTORIA NACIONAL,112,2.472%,2.057%,APURIMAC,ABANCAY,TAMBURCO
ACCION POPULAR,459,10.132%,8.431%,APURIMAC,ABANCAY,TAMBURCO
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,235,5.188%,4.317%,APURIMAC,ABANCAY,TAMBURCO
PODEMOS PERU,84,1.854%,1.543%,APURIMAC,ABANCAY,TAMBURCO
JUNTOS POR EL PERU,490,10.817%,9.001%,APURIMAC,ABANCAY,TAMBURCO
PARTIDO POPULAR CRISTIANO - PPC,12,0.265%,0.220%,APURIMAC,ABANCAY,TAMBURCO
FUERZA POPULAR,393,8.675%,7.219%,APURIMAC,ABANCAY,TAMBURCO
UNION POR EL PERU,47,1.038%,0.863%,APURIMAC,ABANCAY,TAMBURCO
RENOVACION POPULAR,340,7.506%,6.245%,APURIMAC,ABANCAY,TAMBURCO
RENACIMIENTO UNIDO NACIONAL,22,0.486%,0.404%,APURIMAC,ABANCAY,TAMBURCO
PARTIDO DEMOCRATICO SOMOS PERU,29,0.640%,0.533%,APURIMAC,ABANCAY,TAMBURCO
PARTIDO POLITICO NACIONAL PERU LIBRE,2106,46.490%,38.685%,APURIMAC,ABANCAY,TAMBURCO
DEMOCRACIA DIRECTA,16,0.353%,0.294%,APURIMAC,ABANCAY,TAMBURCO
ALIANZA PARA EL PROGRESO,65,1.435%,1.194%,APURIMAC,ABANCAY,TAMBURCO
PARTIDO NACIONALISTA PERUANO,306,1.794%,1.459%,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",61,0.358%,0.291%,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS
PARTIDO MORADO,172,1.008%,0.820%,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS
PERU PATRIA SEGURA,45,0.264%,0.215%,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS
VICTORIA NACIONAL,295,1.729%,1.406%,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS
ACCION POPULAR,1704,9.990%,8.124%,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,963,5.646%,4.591%,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS
PODEMOS PERU,410,2.404%,1.955%,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS
JUNTOS POR EL PERU,946,5.546%,4.510%,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS
PARTIDO POPULAR CRISTIANO - PPC,62,0.363%,0.296%,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS
FUERZA POPULAR,896,5.253%,4.272%,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS
UNION POR EL PERU,450,2.638%,2.145%,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS
RENOVACION POPULAR,1167,6.842%,5.564%,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS
RENACIMIENTO UNIDO NACIONAL,157,0.920%,0.748%,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS
PARTIDO DEMOCRATICO SOMOS PERU,93,0.545%,0.443%,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS
PARTIDO POLITICO NACIONAL PERU LIBRE,9009,52.817%,42.949%,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS
DEMOCRACIA DIRECTA,38,0.223%,0.181%,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS
ALIANZA PARA EL PROGRESO,283,1.659%,1.349%,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS
PARTIDO NACIONALISTA PERUANO,98,4.739%,3.342%,APURIMAC,ANDAHUAYLAS,ANDARAPA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",11,0.532%,0.375%,APURIMAC,ANDAHUAYLAS,ANDARAPA
PARTIDO MORADO,7,0.338%,0.239%,APURIMAC,ANDAHUAYLAS,ANDARAPA
PERU PATRIA SEGURA,8,0.387%,0.273%,APURIMAC,ANDAHUAYLAS,ANDARAPA
VICTORIA NACIONAL,8,0.387%,0.273%,APURIMAC,ANDAHUAYLAS,ANDARAPA
ACCION POPULAR,137,6.625%,4.673%,APURIMAC,ANDAHUAYLAS,ANDARAPA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,40,1.934%,1.364%,APURIMAC,ANDAHUAYLAS,ANDARAPA
PODEMOS PERU,50,2.418%,1.705%,APURIMAC,ANDAHUAYLAS,ANDARAPA
JUNTOS POR EL PERU,97,4.691%,3.308%,APURIMAC,ANDAHUAYLAS,ANDARAPA
PARTIDO POPULAR CRISTIANO - PPC,5,0.242%,0.171%,APURIMAC,ANDAHUAYLAS,ANDARAPA
FUERZA POPULAR,107,5.174%,3.649%,APURIMAC,ANDAHUAYLAS,ANDARAPA
UNION POR EL PERU,67,3.240%,2.285%,APURIMAC,ANDAHUAYLAS,ANDARAPA
RENOVACION POPULAR,63,3.046%,2.149%,APURIMAC,ANDAHUAYLAS,ANDARAPA
RENACIMIENTO UNIDO NACIONAL,25,1.209%,0.853%,APURIMAC,ANDAHUAYLAS,ANDARAPA
PARTIDO DEMOCRATICO SOMOS PERU,49,2.369%,1.671%,APURIMAC,ANDAHUAYLAS,ANDARAPA
PARTIDO POLITICO NACIONAL PERU LIBRE,1278,61.799%,43.588%,APURIMAC,ANDAHUAYLAS,ANDARAPA
DEMOCRACIA DIRECTA,3,0.145%,0.102%,APURIMAC,ANDAHUAYLAS,ANDARAPA
ALIANZA PARA EL PROGRESO,15,0.725%,0.512%,APURIMAC,ANDAHUAYLAS,ANDARAPA
PARTIDO NACIONALISTA PERUANO,38,7.983%,5.965%,APURIMAC,ANDAHUAYLAS,CHIARA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",3,0.630%,0.471%,APURIMAC,ANDAHUAYLAS,CHIARA
PARTIDO MORADO,0,0.000%,0.000%,APURIMAC,ANDAHUAYLAS,CHIARA
PERU PATRIA SEGURA,0,0.000%,0.000%,APURIMAC,ANDAHUAYLAS,CHIARA
VICTORIA NACIONAL,1,0.210%,0.157%,APURIMAC,ANDAHUAYLAS,CHIARA
ACCION POPULAR,52,10.924%,8.163%,APURIMAC,ANDAHUAYLAS,CHIARA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,9,1.891%,1.413%,APURIMAC,ANDAHUAYLAS,CHIARA
PODEMOS PERU,3,0.630%,0.471%,APURIMAC,ANDAHUAYLAS,CHIARA
JUNTOS POR EL PERU,32,6.723%,5.024%,APURIMAC,ANDAHUAYLAS,CHIARA
PARTIDO POPULAR CRISTIANO - PPC,0,0.000%,0.000%,APURIMAC,ANDAHUAYLAS,CHIARA
FUERZA POPULAR,30,6.303%,4.710%,APURIMAC,ANDAHUAYLAS,CHIARA
UNION POR EL PERU,13,2.731%,2.041%,APURIMAC,ANDAHUAYLAS,CHIARA
RENOVACION POPULAR,12,2.521%,1.884%,APURIMAC,ANDAHUAYLAS,CHIARA
RENACIMIENTO UNIDO NACIONAL,5,1.050%,0.785%,APURIMAC,ANDAHUAYLAS,CHIARA
PARTIDO DEMOCRATICO SOMOS PERU,2,0.420%,0.314%,APURIMAC,ANDAHUAYLAS,CHIARA
PARTIDO POLITICO NACIONAL PERU LIBRE,271,56.933%,42.543%,APURIMAC,ANDAHUAYLAS,CHIARA
DEMOCRACIA DIRECTA,1,0.210%,0.157%,APURIMAC,ANDAHUAYLAS,CHIARA
ALIANZA PARA EL PROGRESO,4,0.840%,0.628%,APURIMAC,ANDAHUAYLAS,CHIARA
PARTIDO NACIONALISTA PERUANO,26,1.182%,0.823%,APURIMAC,ANDAHUAYLAS,HUANCARAMA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",14,0.637%,0.443%,APURIMAC,ANDAHUAYLAS,HUANCARAMA
PARTIDO MORADO,12,0.546%,0.380%,APURIMAC,ANDAHUAYLAS,HUANCARAMA
PERU PATRIA SEGURA,7,0.318%,0.222%,APURIMAC,ANDAHUAYLAS,HUANCARAMA
VICTORIA NACIONAL,36,1.637%,1.140%,APURIMAC,ANDAHUAYLAS,HUANCARAMA
ACCION POPULAR,130,5.912%,4.115%,APURIMAC,ANDAHUAYLAS,HUANCARAMA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,47,2.137%,1.488%,APURIMAC,ANDAHUAYLAS,HUANCARAMA
PODEMOS PERU,11,0.500%,0.348%,APURIMAC,ANDAHUAYLAS,HUANCARAMA
JUNTOS POR EL PERU,264,12.005%,8.357%,APURIMAC,ANDAHUAYLAS,HUANCARAMA
PARTIDO POPULAR CRISTIANO - PPC,3,0.136%,0.095%,APURIMAC,ANDAHUAYLAS,HUANCARAMA
FUERZA POPULAR,176,8.004%,5.571%,APURIMAC,ANDAHUAYLAS,HUANCARAMA
UNION POR EL PERU,97,4.411%,3.071%,APURIMAC,ANDAHUAYLAS,HUANCARAMA
RENOVACION POPULAR,57,2.592%,1.804%,APURIMAC,ANDAHUAYLAS,HUANCARAMA
RENACIMIENTO UNIDO NACIONAL,17,0.773%,0.538%,APURIMAC,ANDAHUAYLAS,HUANCARAMA
PARTIDO DEMOCRATICO SOMOS PERU,16,0.728%,0.506%,APURIMAC,ANDAHUAYLAS,HUANCARAMA
PARTIDO POLITICO NACIONAL PERU LIBRE,1253,56.980%,39.664%,APURIMAC,ANDAHUAYLAS,HUANCARAMA
DEMOCRACIA DIRECTA,9,0.409%,0.285%,APURIMAC,ANDAHUAYLAS,HUANCARAMA
ALIANZA PARA EL PROGRESO,24,1.091%,0.760%,APURIMAC,ANDAHUAYLAS,HUANCARAMA
PARTIDO NACIONALISTA PERUANO,87,5.863%,4.311%,APURIMAC,ANDAHUAYLAS,HUANCARAY
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",10,0.674%,0.496%,APURIMAC,ANDAHUAYLAS,HUANCARAY
PARTIDO MORADO,15,1.011%,0.743%,APURIMAC,ANDAHUAYLAS,HUANCARAY
PERU PATRIA SEGURA,6,0.404%,0.297%,APURIMAC,ANDAHUAYLAS,HUANCARAY
VICTORIA NACIONAL,13,0.876%,0.644%,APURIMAC,ANDAHUAYLAS,HUANCARAY
ACCION POPULAR,161,10.849%,7.978%,APURIMAC,ANDAHUAYLAS,HUANCARAY
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,26,1.752%,1.288%,APURIMAC,ANDAHUAYLAS,HUANCARAY
PODEMOS PERU,15,1.011%,0.743%,APURIMAC,ANDAHUAYLAS,HUANCARAY
JUNTOS POR EL PERU,94,6.334%,4.658%,APURIMAC,ANDAHUAYLAS,HUANCARAY
PARTIDO POPULAR CRISTIANO - PPC,3,0.202%,0.149%,APURIMAC,ANDAHUAYLAS,HUANCARAY
FUERZA POPULAR,108,7.278%,5.352%,APURIMAC,ANDAHUAYLAS,HUANCARAY
UNION POR EL PERU,20,1.348%,0.991%,APURIMAC,ANDAHUAYLAS,HUANCARAY
RENOVACION POPULAR,27,1.819%,1.338%,APURIMAC,ANDAHUAYLAS,HUANCARAY
RENACIMIENTO UNIDO NACIONAL,31,2.089%,1.536%,APURIMAC,ANDAHUAYLAS,HUANCARAY
PARTIDO DEMOCRATICO SOMOS PERU,7,0.472%,0.347%,APURIMAC,ANDAHUAYLAS,HUANCARAY
PARTIDO POLITICO NACIONAL PERU LIBRE,851,57.345%,42.170%,APURIMAC,ANDAHUAYLAS,HUANCARAY
DEMOCRACIA DIRECTA,2,0.135%,0.099%,APURIMAC,ANDAHUAYLAS,HUANCARAY
ALIANZA PARA EL PROGRESO,8,0.539%,0.396%,APURIMAC,ANDAHUAYLAS,HUANCARAY
PARTIDO NACIONALISTA PERUANO,24,7.643%,5.811%,APURIMAC,ANDAHUAYLAS,HUAYANA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",7,2.229%,1.695%,APURIMAC,ANDAHUAYLAS,HUAYANA
PARTIDO MORADO,22,7.006%,5.327%,APURIMAC,ANDAHUAYLAS,HUAYANA
PERU PATRIA SEGURA,0,0.000%,0.000%,APURIMAC,ANDAHUAYLAS,HUAYANA
VICTORIA NACIONAL,5,1.592%,1.211%,APURIMAC,ANDAHUAYLAS,HUAYANA
ACCION POPULAR,61,19.427%,14.770%,APURIMAC,ANDAHUAYLAS,HUAYANA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,4,1.274%,0.969%,APURIMAC,ANDAHUAYLAS,HUAYANA
PODEMOS PERU,2,0.637%,0.484%,APURIMAC,ANDAHUAYLAS,HUAYANA
JUNTOS POR EL PERU,39,12.420%,9.443%,APURIMAC,ANDAHUAYLAS,HUAYANA
PARTIDO POPULAR CRISTIANO - PPC,0,0.000%,0.000%,APURIMAC,ANDAHUAYLAS,HUAYANA
FUERZA POPULAR,32,10.191%,7.748%,APURIMAC,ANDAHUAYLAS,HUAYANA
UNION POR EL PERU,3,0.955%,0.726%,APURIMAC,ANDAHUAYLAS,HUAYANA
RENOVACION POPULAR,9,2.866%,2.179%,APURIMAC,ANDAHUAYLAS,HUAYANA
RENACIMIENTO UNIDO NACIONAL,2,0.637%,0.484%,APURIMAC,ANDAHUAYLAS,HUAYANA
PARTIDO DEMOCRATICO SOMOS PERU,1,0.318%,0.242%,APURIMAC,ANDAHUAYLAS,HUAYANA
PARTIDO POLITICO NACIONAL PERU LIBRE,98,31.210%,23.729%,APURIMAC,ANDAHUAYLAS,HUAYANA
DEMOCRACIA DIRECTA,0,0.000%,0.000%,APURIMAC,ANDAHUAYLAS,HUAYANA
ALIANZA PARA EL PROGRESO,5,1.592%,1.211%,APURIMAC,ANDAHUAYLAS,HUAYANA
PARTIDO NACIONALISTA PERUANO,84,4.930%,3.406%,APURIMAC,ANDAHUAYLAS,JOSE MARIA ARGUEDAS
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",6,0.352%,0.243%,APURIMAC,ANDAHUAYLAS,JOSE MARIA ARGUEDAS
PARTIDO MORADO,3,0.176%,0.122%,APURIMAC,ANDAHUAYLAS,JOSE MARIA ARGUEDAS
PERU PATRIA SEGURA,2,0.117%,0.081%,APURIMAC,ANDAHUAYLAS,JOSE MARIA ARGUEDAS
VICTORIA NACIONAL,3,0.176%,0.122%,APURIMAC,ANDAHUAYLAS,JOSE MARIA ARGUEDAS
ACCION POPULAR,131,7.688%,5.312%,APURIMAC,ANDAHUAYLAS,JOSE MARIA ARGUEDAS
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,22,1.291%,0.892%,APURIMAC,ANDAHUAYLAS,JOSE MARIA ARGUEDAS
PODEMOS PERU,4,0.235%,0.162%,APURIMAC,ANDAHUAYLAS,JOSE MARIA ARGUEDAS
JUNTOS POR EL PERU,68,3.991%,2.758%,APURIMAC,ANDAHUAYLAS,JOSE MARIA ARGUEDAS
PARTIDO POPULAR CRISTIANO - PPC,3,0.176%,0.122%,APURIMAC,ANDAHUAYLAS,JOSE MARIA ARGUEDAS
FUERZA POPULAR,51,2.993%,2.068%,APURIMAC,ANDAHUAYLAS,JOSE MARIA ARGUEDAS
